guide_id,gene,control_r1,control_r2,control_r3,treated_r1,treated_r2,treated_r3
SIMG0001_sg1,SIMG0001,8724,5399,4727,5379,5524,5349
SIMG0001_sg2,SIMG0001,4421,5805,3651,4724,3681,2744
SIMG0001_sg3,SIMG0001,2355,2879,2179,2068,1945,1721
SIMG0001_sg4,SIMG0001,5617,5299,4471,7929,5050,4900
SIMG0002_sg1,SIMG0002,4905,4318,3948,3325,5177,4057
SIMG0002_sg2,SIMG0002,6162,7268,8822,6786,7433,6369
SIMG0002_sg3,SIMG0002,3388,3440,3130,3793,2439,2747
SIMG0002_sg4,SIMG0002,12628,17861,10417,11614,13540,11231
SIMG0003_sg1,SIMG0003,5293,6197,5488,3860,4017,3733
SIMG0003_sg2,SIMG0003,3693,3206,3203,4791,2766,2613
SIMG0003_sg3,SIMG0003,3587,3416,2839,3676,4070,3181
SIMG0003_sg4,SIMG0003,6559,5884,7268,10589,8546,6574
SIMG0004_sg1,SIMG0004,3697,3766,3695,3981,3778,3146
SIMG0004_sg2,SIMG0004,5641,4474,4394,5056,4208,4916
SIMG0004_sg3,SIMG0004,16507,8509,10558,10887,12474,9300
SIMG0004_sg4,SIMG0004,4210,2232,3423,3219,3522,2734
SIMG0005_sg1,SIMG0005,6772,7184,5534,5077,5200,5418
SIMG0005_sg2,SIMG0005,3188,3173,3469,2791,4135,2287
SIMG0005_sg3,SIMG0005,6285,3511,5092,4950,5274,3137
SIMG0005_sg4,SIMG0005,9123,11816,8073,7090,7282,7858
SIMG0006_sg1,SIMG0006,3252,4679,3015,4133,3770,1827
SIMG0006_sg2,SIMG0006,3520,3795,2103,2178,3954,1797
SIMG0006_sg3,SIMG0006,9547,7680,9752,8228,5717,5735
SIMG0006_sg4,SIMG0006,6494,5075,5477,5545,4840,4992
SIMG0007_sg1,SIMG0007,3429,2850,2875,3335,4121,2787
SIMG0007_sg2,SIMG0007,6830,4896,4561,5740,6393,4934
SIMG0007_sg3,SIMG0007,4090,3821,5587,4902,4533,3552
SIMG0007_sg4,SIMG0007,5488,6666,5747,7143,8918,6668
SIMG0008_sg1,SIMG0008,6302,6368,5487,5275,3867,5087
SIMG0008_sg2,SIMG0008,4990,6169,5105,5596,6965,5500
SIMG0008_sg3,SIMG0008,2769,3264,2018,2866,2391,2242
SIMG0008_sg4,SIMG0008,6651,8137,5955,5264,4976,4058
SIMG0009_sg1,SIMG0009,3753,2335,3438,2800,2964,2829
SIMG0009_sg2,SIMG0009,4745,5137,4205,5584,8405,4677
SIMG0009_sg3,SIMG0009,7908,7207,6267,7914,6743,5752
SIMG0009_sg4,SIMG0009,5268,4048,3251,6921,5507,5636
SIMG0010_sg1,SIMG0010,8007,8449,5004,11343,9213,5858
SIMG0010_sg2,SIMG0010,5069,4746,4105,6264,5765,6049
SIMG0010_sg3,SIMG0010,2842,2543,3342,2640,2756,2825
SIMG0010_sg4,SIMG0010,2410,2547,2227,3104,2559,1967
SIMG0011_sg1,SIMG0011,4157,4392,4828,8052,4827,4287
SIMG0011_sg2,SIMG0011,6202,5646,5169,4640,5272,3765
SIMG0011_sg3,SIMG0011,9827,8306,11188,6652,13923,6505
SIMG0011_sg4,SIMG0011,4402,6177,4489,5462,4281,3883
SIMG0012_sg1,SIMG0012,3437,3669,4767,5036,4794,2162
SIMG0012_sg2,SIMG0012,3324,3484,2527,3784,3400,2064
SIMG0012_sg3,SIMG0012,4118,3831,3201,3327,3900,3459
SIMG0012_sg4,SIMG0012,12318,9127,11186,11871,7470,8105
SIMG0013_sg1,SIMG0013,7753,7867,6631,5489,8584,5207
SIMG0013_sg2,SIMG0013,4549,5632,4490,5773,4558,3065
SIMG0013_sg3,SIMG0013,3677,2515,1845,3763,3250,2120
SIMG0013_sg4,SIMG0013,2978,3978,3008,3943,4402,3103
SIMG0014_sg1,SIMG0014,3987,4188,4142,3801,4195,2601
SIMG0014_sg2,SIMG0014,6303,4602,6669,5845,5799,4220
SIMG0014_sg3,SIMG0014,9561,5994,5551,11214,7268,5992
SIMG0014_sg4,SIMG0014,7028,7907,6772,9059,6453,6312
SIMG0015_sg1,SIMG0015,2741,3208,2468,2347,1492,1722
SIMG0015_sg2,SIMG0015,3941,4891,4381,4014,2957,3845
SIMG0015_sg3,SIMG0015,7843,6409,6721,8580,6935,6249
SIMG0015_sg4,SIMG0015,5219,5667,3527,4863,5672,4283
SIMG0016_sg1,SIMG0016,4644,3292,3752,3411,2789,3761
SIMG0016_sg2,SIMG0016,5652,5902,5591,6373,5806,4501
SIMG0016_sg3,SIMG0016,4514,3441,3454,2906,3712,2917
SIMG0016_sg4,SIMG0016,8326,5475,6048,5414,5867,6197
SIMG0017_sg1,SIMG0017,3601,3656,2313,2563,3242,2701
SIMG0017_sg2,SIMG0017,3708,3833,3623,4432,3731,2795
SIMG0017_sg3,SIMG0017,4684,3709,5011,5959,5077,3787
SIMG0017_sg4,SIMG0017,6292,5922,4519,5330,6169,5307
SIMG0018_sg1,SIMG0018,5275,5409,5131,7556,6102,5591
SIMG0018_sg2,SIMG0018,3664,4533,3289,3038,3641,2935
SIMG0018_sg3,SIMG0018,2942,3775,3513,2807,3271,2446
SIMG0018_sg4,SIMG0018,4105,5199,5332,4287,3144,3392
SIMG0019_sg1,SIMG0019,7537,6496,5026,7729,8292,5897
SIMG0019_sg2,SIMG0019,8821,8083,8256,6832,6765,9095
SIMG0019_sg3,SIMG0019,13116,8832,6913,8877,8748,7170
SIMG0019_sg4,SIMG0019,3541,4884,2548,3790,5190,2860
SIMG0020_sg1,SIMG0020,11754,9173,11523,8734,9200,7112
SIMG0020_sg2,SIMG0020,3738,4270,3015,3203,4085,2472
SIMG0020_sg3,SIMG0020,3694,3651,3624,3158,3954,3011
SIMG0020_sg4,SIMG0020,8712,4976,6223,6988,5665,5478
SIMG0021_sg1,SIMG0021,6257,3921,7073,6023,6192,5622
SIMG0021_sg2,SIMG0021,4428,4608,4060,4035,3390,2623
SIMG0021_sg3,SIMG0021,4729,4218,4073,4497,5025,3475
SIMG0021_sg4,SIMG0021,5080,4480,4352,4272,3847,2893
SIMG0022_sg1,SIMG0022,5448,4302,4938,4590,4226,2943
SIMG0022_sg2,SIMG0022,3395,3255,3110,2543,3839,2703
SIMG0022_sg3,SIMG0022,3115,4496,3516,3475,5045,4448
SIMG0022_sg4,SIMG0022,4304,3138,4675,3879,3487,3976
SIMG0023_sg1,SIMG0023,2711,5122,2860,3517,3831,2615
SIMG0023_sg2,SIMG0023,5869,6741,5979,6478,6662,5049
SIMG0023_sg3,SIMG0023,3489,3849,3511,4122,3792,2642
SIMG0023_sg4,SIMG0023,6881,5613,6924,6122,5099,3278
SIMG0024_sg1,SIMG0024,3656,3614,3498,2770,3429,2882
SIMG0024_sg2,SIMG0024,4538,6465,5606,7374,5590,4046
SIMG0024_sg3,SIMG0024,5166,2682,4523,3485,3302,2976
SIMG0024_sg4,SIMG0024,6021,8045,7548,8802,8707,5694
SIMG0025_sg1,SIMG0025,4985,4360,3594,6298,4048,2883
SIMG0025_sg2,SIMG0025,6818,8065,5817,4730,4620,6817
SIMG0025_sg3,SIMG0025,7561,6941,5620,6137,6201,4685
SIMG0025_sg4,SIMG0025,7512,8771,5738,5983,7438,4463
SIMG0026_sg1,SIMG0026,8349,5137,5971,7645,6990,5086
SIMG0026_sg2,SIMG0026,4233,5532,4724,5434,4564,3426
SIMG0026_sg3,SIMG0026,2828,1981,2639,3645,2673,2242
SIMG0026_sg4,SIMG0026,3091,6173,4680,3957,3681,3722
SIMG0027_sg1,SIMG0027,4567,5822,3939,4962,4374,3335
SIMG0027_sg2,SIMG0027,9398,5582,6419,5783,6939,5349
SIMG0027_sg3,SIMG0027,4580,3507,3088,4233,3975,3358
SIMG0027_sg4,SIMG0027,6133,5880,4494,4765,6251,3052
SIMG0028_sg1,SIMG0028,3694,5003,5710,5186,5722,4330
SIMG0028_sg2,SIMG0028,5827,5138,5212,5363,3997,3039
SIMG0028_sg3,SIMG0028,10909,11007,9382,14091,13805,6413
