gene,true_class,true_log2_fold_change
SIMG0030,essential,-0.6680
SIMG0037,essential,-0.9144
SIMG0039,resistance,1.4305
SIMG0043,resistance,1.0128
SIMG0054,essential,-0.9952
SIMG0085,resistance,0.8175
SIMG0096,essential,-1.6429
SIMG0121,essential,-1.9549
SIMG0122,essential,-0.9222
SIMG0123,essential,-1.7852
SIMG0125,essential,-1.7831
SIMG0159,essential,-0.8450
SIMG0166,essential,-1.8892
SIMG0198,resistance,1.5925
SIMG0201,resistance,1.1887
SIMG0208,essential,-1.9398
SIMG0214,resistance,0.8759
SIMG0224,essential,-0.6944
SIMG0225,essential,-0.7990
SIMG0245,essential,-1.5237
SIMG0277,resistance,1.1848
SIMG0282,resistance,1.4534
SIMG0285,essential,-1.7927
