strain,temperature_c,replicate,time_h,od600
ZW-HYPER-02,60,1,0,0.0224
ZW-HYPER-02,60,1,1,0.0206
ZW-HYPER-02,60,1,2,0.0186
ZW-HYPER-02,60,1,3,0.0205
ZW-HYPER-02,60,1,4,0.0191
ZW-HYPER-02,60,1,5,0.0163
ZW-HYPER-02,60,1,6,0.0190
ZW-HYPER-02,60,1,7,0.0194
ZW-HYPER-02,60,1,8,0.0206
ZW-HYPER-02,60,1,9,0.0297
ZW-HYPER-02,60,1,10,0.0259
ZW-HYPER-02,60,1,11,0.0240
ZW-HYPER-02,60,1,12,0.0280
ZW-HYPER-02,60,1,13,0.0178
ZW-HYPER-02,60,1,14,0.0279
ZW-HYPER-02,60,1,15,0.0192
ZW-HYPER-02,60,1,16,0.0240
ZW-HYPER-02,60,1,17,0.0166
ZW-HYPER-02,60,1,18,0.0304
ZW-HYPER-02,60,1,19,0.0203
ZW-HYPER-02,60,1,20,0.0225
ZW-HYPER-02,60,1,21,0.0209
ZW-HYPER-02,60,1,22,0.0274
ZW-HYPER-02,60,1,23,0.0180
ZW-HYPER-02,60,1,24,0.0259
ZW-HYPER-02,60,1,25,0.0225
ZW-HYPER-02,60,1,26,0.0278
ZW-HYPER-02,60,1,27,0.0217
ZW-HYPER-02,60,1,28,0.0270
ZW-HYPER-02,60,1,29,0.0275
ZW-HYPER-02,60,1,30,0.0276
ZW-HYPER-02,60,2,0,0.0169
ZW-HYPER-02,60,2,1,0.0203
ZW-HYPER-02,60,2,2,0.0178
ZW-HYPER-02,60,2,3,0.0237
ZW-HYPER-02,60,2,4,0.0177
ZW-HYPER-02,60,2,5,0.0258
ZW-HYPER-02,60,2,6,0.0245
ZW-HYPER-02,60,2,7,0.0168
ZW-HYPER-02,60,2,8,0.0159
ZW-HYPER-02,60,2,9,0.0201
ZW-HYPER-02,60,2,10,0.0213
ZW-HYPER-02,60,2,11,0.0208
ZW-HYPER-02,60,2,12,0.0173
ZW-HYPER-02,60,2,13,0.0206
ZW-HYPER-02,60,2,14,0.0193
ZW-HYPER-02,60,2,15,0.0205
ZW-HYPER-02,60,2,16,0.0220
ZW-HYPER-02,60,2,17,0.0302
ZW-HYPER-02,60,2,18,0.0174
ZW-HYPER-02,60,2,19,0.0242
ZW-HYPER-02,60,2,20,0.0257
ZW-HYPER-02,60,2,21,0.0271
ZW-HYPER-02,60,2,22,0.0311
ZW-HYPER-02,60,2,23,0.0168
ZW-HYPER-02,60,2,24,0.0227
ZW-HYPER-02,60,2,25,0.0182
ZW-HYPER-02,60,2,26,0.0210
ZW-HYPER-02,60,2,27,0.0244
ZW-HYPER-02,60,2,28,0.0246
ZW-HYPER-02,60,2,29,0.0300
ZW-HYPER-02,60,2,30,0.0269
ZW-HYPER-02,60,3,0,0.0218
ZW-HYPER-02,60,3,1,0.0243
ZW-HYPER-02,60,3,2,0.0171
ZW-HYPER-02,60,3,3,0.0158
ZW-HYPER-02,60,3,4,0.0235
ZW-HYPER-02,60,3,5,0.0202
ZW-HYPER-02,60,3,6,0.0269
ZW-HYPER-02,60,3,7,0.0201
ZW-HYPER-02,60,3,8,0.0185
ZW-HYPER-02,60,3,9,0.0251
ZW-HYPER-02,60,3,10,0.0219
ZW-HYPER-02,60,3,11,0.0240
ZW-HYPER-02,60,3,12,0.0165
ZW-HYPER-02,60,3,13,0.0183
ZW-HYPER-02,60,3,14,0.0268
ZW-HYPER-02,60,3,15,0.0252
ZW-HYPER-02,60,3,16,0.0150
ZW-HYPER-02,60,3,17,0.0264
ZW-HYPER-02,60,3,18,0.0288
ZW-HYPER-02,60,3,19,0.0225
ZW-HYPER-02,60,3,20,0.0220
ZW-HYPER-02,60,3,21,0.0259
ZW-HYPER-02,60,3,22,0.0280
ZW-HYPER-02,60,3,23,0.0195
ZW-HYPER-02,60,3,24,0.0227
ZW-HYPER-02,60,3,25,0.0265
ZW-HYPER-02,60,3,26,0.0241
ZW-HYPER-02,60,3,27,0.0310
ZW-HYPER-02,60,3,28,0.0181
ZW-HYPER-02,60,3,29,0.0241
ZW-HYPER-02,60,3,30,0.0229
ZW-HYPER-02,65,1,0,0.0261
ZW-HYPER-02,65,1,1,0.0218
ZW-HYPER-02,65,1,2,0.0225
ZW-HYPER-02,65,1,3,0.0247
ZW-HYPER-02,65,1,4,0.0158
ZW-HYPER-02,65,1,5,0.0270
ZW-HYPER-02,65,1,6,0.0255
ZW-HYPER-02,65,1,7,0.0355
ZW-HYPER-02,65,1,8,0.0285
ZW-HYPER-02,65,1,9,0.0260
ZW-HYPER-02,65,1,10,0.0256
ZW-HYPER-02,65,1,11,0.0354
ZW-HYPER-02,65,1,12,0.0264
ZW-HYPER-02,65,1,13,0.0365
ZW-HYPER-02,65,1,14,0.0396
ZW-HYPER-02,65,1,15,0.0367
ZW-HYPER-02,65,1,16,0.0375
ZW-HYPER-02,65,1,17,0.0345
ZW-HYPER-02,65,1,18,0.0371
ZW-HYPER-02,65,1,19,0.0474
ZW-HYPER-02,65,1,20,0.0393
ZW-HYPER-02,65,1,21,0.0481
ZW-HYPER-02,65,1,22,0.0385
ZW-HYPER-02,65,1,23,0.0433
ZW-HYPER-02,65,1,24,0.0465
ZW-HYPER-02,65,1,25,0.0502
ZW-HYPER-02,65,1,26,0.0574
ZW-HYPER-02,65,1,27,0.0418
ZW-HYPER-02,65,1,28,0.0517
ZW-HYPER-02,65,1,29,0.0535
ZW-HYPER-02,65,1,30,0.0528
ZW-HYPER-02,65,2,0,0.0191
ZW-HYPER-02,65,2,1,0.0201
ZW-HYPER-02,65,2,2,0.0215
